Acronym,Definition,Source(s)
BSOIC,"Beam Shut Off Ion Chamber. One of a number of PPS radiation- monitoring devices situated at strategic points throughout the machine, usually close to, but on the outside of, the beam housing shielding. Ionization of the gas-filled chamber by radiation will cause the BSOIC to trip off the beam if the level of radiation is above the trip point of the chamber.",LCLS-II_EIC_PPS_EPICS_Support_SOW.pdf page 3
BSOICs,"Beam Shut Off Ion Chambers, installed at locations requiring monitoring of radiation doses outside the shielding.",PPS_to_InfrastructureSystems.pdf page 2
BSY,Beam Switch Yard,LCLSII-HE-1.6-SW-0433.pdf page 3
BSY,Beam Switchyard,lcw_requirements.pdf page 2
BSY CA,Beam Switch Yard Compressed Air,BSY_to_Infrastructure_Systems.pdf page 1
BT,"Beam Tube (vacuum tube, drift tube)",LCLSII-HE-1.3-PM-0225.pdf page 4
BTH,Beam Transfer Hall,LCLSII-HE-1.6-SW-0433.pdf page 3
BTH,"Beam Transport Hall, section of the existing facility",CDR-full.pdf page 508
BTH,Beam Transport Hall,lcw_requirements.pdf page 2
BTHW,West of Beam Transport Hall,Radiation_Protection_Requirements_for_the_Beam_Transport_Hall.pdf page 3
BTHW,Beam Transfer Hall West,LCLSII-HE-1.6-SW-0433.pdf page 3
BTHW,Beam Transport Hall West (West end of LTU Transport),LCLS-II_LTU_Support_Structures_Analysis.pdf page 2
BTHW,BTH West,PPS_Requirements_(Electron_Beamlines).pdf page 3
BTHW,Beam Transport Hall West,LTU_ESD.pdf page 3
BTL,"Beam Transfer Line. Comprised of DOG, Bypass, and Spreader",LCLSII-HE-1.3-ES-0586.pdf page 4
BTM,Beam Transmission Monitor,LCLSII-HE-1.4-ES-0477.pdf page 3
BTM,Burn-Through-Monitor,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
BTM,BTMSFT,Electron_to_XTES.pdf page 15
BTM,BTM2,Electron_to_XTES.pdf page 14
BTM,Burn-Through Monitor,LCLSII-HE-1.1-PR-0047.pdf page 3
BTM,Diode-Based Burn-Thru Monitor,BCS_Absorber_Diode_Based_BTM.pdf page 2
BTM,Burn Through Monitor,LCLSII-HE-1.4-ES-0651.pdf page 3
BTM,BTM3,Electron_to_XTES.pdf page 15
BTM,"Beam Through Monitor. In this document, BTM refers to the LCLS-II diode- based BTMs (Ref: BTM ESD).",LCLS-II_Beam_Containment_System_ESD.pdf page 5
BTN,Button (type of BPM),Beam_Position_Monitor_Requirements.pdf page 1
BW,Band Width,CDR-full.pdf page 508
BXPM,Beam X-Ray Permanent Magnet,Electron_Safety_Dump_Components.pdf page 2
BY1 BY2,B005-L02,BCS_Magnet_Current_Monitor.pdf page 4
BYD,Bending magnet sending beams to main dump (bending vertically),XTES_Shield.pdf page 3
BYD,Bending magnet sending beams to main dumps (bend on Y Direction),FEL_Intensity_Interlock_Functional_Requirements.pdf page 3
BYD,"Bend magnets, Y (vertical), to electron Dump,",Electron_Safety_Dump_Components.pdf page 2
BYD,Bend Y Dipole (last string before dump),Environmental_radiation_monitoring.pdf page 2
BYDSH,B921-11,BCS_Magnet_Current_Monitor.pdf page 4
BYDSS,B921-51,BCS_Magnet_Current_Monitor.pdf page 4
BYP,Bypass,LCLSII-HE-1.3-ES-0586.pdf page 4
BYP,Bypass Area (as defined in the MAD database),Bypass_Mechanical_Specifications.pdf page 3
BYSP1H,BEND,LCLSII-HE-1.6-RD-0291.pdf page 14
BYSP1H,B136-14,BCS_Magnet_Current_Monitor.pdf page 4
BYSP1S,BEND,LCLSII-HE-1.6-RD-0291.pdf page 14
BYSP1S,B136-17,BCS_Magnet_Current_Monitor.pdf page 4
BYSP2H,BEND,LCLSII-HE-1.6-RD-0291.pdf page 14
BYSP2H,B136-14,BCS_Magnet_Current_Monitor.pdf page 4
BYSP2S,BEND,LCLSII-HE-1.6-RD-0291.pdf page 15
BYSP2S,B136-17,BCS_Magnet_Current_Monitor.pdf page 4
Beam Spreader,"A transverse field microwave cavity used to direct the beam to the dump, or SXR or HXR undulators.",Controls_System_Requirements.pdf page 1
BiSS-C,Bidirectional/Serial/Synchronous (Continuous) Interface,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_Functional_Requirements_Specification.pdf page 5
C-Link,Camera-Link,LCLSII_Injector_Laser_Controls_ESD.pdf page 2
C-band,Radio frequency equipment operating at roughly 6 GHz.,CDR-full.pdf page 508
C.A.,Clear Aperture (polished part of the mirror),XTES_KB_Mirrors.pdf page 2
C1,Cryoplant 1,C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
C1,Cryogenic plant #1,HRS.00.00-SR-SLAC-SRR-3-Electrical_Report.pdf page 5
C100,cryomodule for the 12 GeV upgrade of the CEBAF facility,CDR-full.pdf page 508
C2,Cryogenic plant #2,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
CA,Controlled Area,RP_Injector_PRD.pdf page 2
CA,Channel Access network protocol used by EPICS,LCLSII-HE-1.5-ES-0326.pdf page 3
CA,Compressed Air,LCLSII-HE-1.6-RD-0438.pdf page 4
CA,Channel Access,CDR-full.pdf page 508
CAB,Cabinet,HRS.00.00-SR-SLAC-SRR-2-Electrical_Report.pdf page 5
CAD,Computer-Aided Design,LCLSII-HE-1.3-PR-0032.pdf page 3
CAD,Computer Aided Design,CDR-full.pdf page 508
CALBCODE,Calibration Error Code,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
CALBOK,Calibration Status,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
CALBTOD,Calibration Date,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
CAM,Control Account Manager,LCLSII-HE-1.1-QA-0230.pdf page 6
CAM,Cost Account Manager,LCLSII-HE-1.1-QA-0229.pdf page 5
CAN,Channel Access Network,Beam_Position_Monitor_BPM_Controls_Functional_Requirements.pdf page 2
CAPTAR,SLAC Cable Plant Tracking database,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
CAPTAR,Cable Plant Tracking and Reporting database,LCLS-II_Beam_Containment_System_Average_Current_Monitors_ESD.pdf page 3
CAPTAR,EED Cable Repository,LCLS-II_MPS_Controls_Engineering_Documentation_Support_SOW.pdf page 3
CAS,Contractor Assurance System,Report_from_Nov.2017_Meeting_with_ARR_Committee_Chair.pdf page 3
CAV,Cavity Probe (W),LCLSII-HE-1.5-FR-0258.pdf page 20
CB,Cold Box,LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
CB,Cryogenic Bypass is a vacuum insulated cryogenic transfer line that allows for warm beam line space within a Linac by bypassing the cryogenic circuit,Cryogenic_Distribution_System.pdf page 3
CB,Circuit Breaker,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
CB,"Cold Box (2K.CB, 2K Cold Box)",LCLS-II_2K_Cold_box_Assembly.pdf page 4
CBC,California Building Code,LCLSII-HE-1.6-SW-0694.pdf page 3
CBLM,Cherenkov Beam Loss Monitor,LCLS-II_MPS_Controls_Engineering_Documentation_Support_SOW.pdf page 3
CBX,Coldbox,C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
CBX,Cold box,LCLS-II_Cryoplant_2_K_Cold_Box.pdf page 4
CBXFEL,Cavity-Based X-ray Free Electron Laser,LCLSII-HE-1.3-PR-0032.pdf page 3
CC,Credit Controls,LCLSII-HE-1.1-QA-0230.pdf page 6
CC,Common Components,LCLSII-HE-1.5-ES-0691.pdf page 3
CC,Control Coordinator,Roles_and_Responsibilities_for_Cool_Down_of_the_LCLS_Superconducting_Linac.pdf page 3
CC#,Cold Compressor (#... number),HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
CC(s),Cold Compressor(s),LCLS-II_Cryoplant_2_K_Cold_Box.pdf page 4
CCB,Change Control Board,Systems_Engineering_Management_Plan.pdf page 4
CCD,Charged Coupled Device,LCLS-II_Profile_Monitor_Controls_Functional_Requirements.pdf page 2
CCG,Cold Cathode Gauge,XTES_Photon_Stoppers.pdf page 3
CCI,Controls Computing Infrastructure,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
CCM,Channel Cut Monochromator,CDR-full.pdf page 508
CCR,"Central Control Room (B003). Operations staff no longer uses B003 for the primary control of the LINAC facility, but the major controls cabling for the remote control of the Accelerator is still at the wiring hub, the B003 mainframe. The PPS Global LINAC PLCs, which reside in this building, are referred to collectively as the “CCR PPS.”",Radiation_Safety_System_Controls.pdf page 3
CCR,California Code of Regulations,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
CCR,"Central Control Room (Building 3). The CCR was the primary control room for the initial operation of the LINAC. Operators no longer operate the LINAC from CCR, but the major PPS wiring infrastructure for the control of the LINAC is still in building 3. The major hub for the LINAC PPS, the CCR LINAC West and LINAC East PLCs are in B003. LINAC West is currently used for FACET PPS beam interlocking. LINAC East is currently used for LCLS PPS beam interlocking, but will be expanded to include LCLS-II interlock logic. These two systems are often referred to as the CCR PPS PLCs.",RSS_Controls.pdf page 6
CCR PPS,"The B003 PPS PLCs that permit the operation of the Injector through LINAC Radiation Hazards. These PLCs also perform the high level logic to determine if it is safe to set access to the Injector through LINAC with respect to prompt-ionizing radiation hazards. There are two subsystems, LINACs East and West. Details are found in CD-SS-PPS-02-11-09, Central Control Room (CCR) PPS Logic Specification.",Radiation_Safety_System_Controls.pdf page 3
CCS,Configuration Control System. Used in photon experimental areas and interlocked to HPS.,Radiation_Safety_System_Controls.pdf page 3
CCW,Counter Clock Wise,LCLS-II_Bunch_Chicane_2B_Controls_Checkout_Procedure.pdf page 2
CD,Directional Coupler,LCLSII-HE-1.3-IR-0702.pdf page 3
CD,Cool-Down.,HRS.CM.00-FA-SLAC-LINAC_Functional_Requirements.pdf page 3
CD,Critical Decision,LCLSII-HE-1.1-PM-0009.pdf page 7
CD,Cool down valve,SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
CD,Cool down,Cryogenic_Distribution_System_ICD.pdf page 3
CD-,Critical Decision,Systems_Engineering_Management_Plan.pdf page 4
CD-0,Critical Decision 0: approval of mission need,CDR-full.pdf page 509
CD-1,Critical Decision - 1,Fire_Hazard_Analysis.pdf page 35
CD-1,Critical Decision 1: Approval of alternative selection and cost range,CDR-full.pdf page 509
CD-1,Critical Decision milestone 1,XTES_PRD.pdf page 2
CD-2,"Performance Baseline Review Completion of preliminary design, development of a performance baseline that contains a detailed scope, schedule, and cost estimate",LCLSII-HE-1.3-PM-0225.pdf page 4
CD-2,Critical Decision 2: approval of performance baseline,CDR-full.pdf page 509
CD-2,Critical Decision - 2,Fire_Hazard_Analysis.pdf page 35
CD-2/3,Critical Decision 2 / 3,Quality_Assurance_Plan.pdf page 5
CD-3,"Approve Start of Construction Review Completion of essentially all design and engineering and beginning of construction, implementation, procurement, or fabrication.",LCLSII-HE-1.3-PM-0225.pdf page 4
CD-3,Critical Decision 3: approval of start of construction,CDR-full.pdf page 509
CD-3a,Critical Decision 3a for long-lead procurements,CDR-full.pdf page 509
CD-4,Critical Decision 4: approval of project completion,CDR-full.pdf page 509
CDA,Clean Dry Air,LCLSII-HE-1.3-IR-0702.pdf page 3
CDA,Compressed Dry Air,LCLSII-HE-1.6-SW-0433.pdf page 3
CDMS,Controlled Document Management System,LCLSII-HE-1.1-PM-0009.pdf page 7
CDR,Conceptual Design Review (~30% Design Completion),LCLSII-HE-1.1-QA-0230.pdf page 5
CDR,Conceptual Design Review,Systems_Engineering_Management_Plan.pdf page 4
CDR,Conceptual Design Report,CDR-full.pdf page 509
CDR,Concept Design Review,LCLSII-HE-1.1-PM-0219.pdf page 5
"CDR, PDR, FDR","Conceptual, Preliminary, Final Design Review",LCLSII-HE-1.5-IC-0488.pdf page 4
CDS,Cryogenics Distribution Systems,LCLS-II_2K_Cold_box_Assembly.pdf page 4
CDS,Cryo Distribution System,LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
CDS,Cryogenic Distribution System is a set of cryogenic components to feed and return the cryogens via vacuum insulated pipelines throughout the Linac to distributed components requiring cryogenic refrigeration,LCLSII-HE-1.3-FR-0054.pdf page 4
CDS,Cryogenic Distribution System,Oxygen_Deficiency_Monitoring_Controls.pdf page 3
CDS,Cryogenic Distribution System is a set of cryogenic components to feed and return the cryogens via vacuum insulated pipelines from the Cryoplant to CMTS1,FNAL_CMTS1.pdf page 3
CDS,Cryogenic Distributions System,LCLSII-HE-1.3-PM-0225.pdf page 4
CDS,Cryogenic Distribution System: a set of cryogenic components to feed and return cryogens via vacuum insulated pipelines throughout the Linac to distributed components requiring cryogenic refrigeration,1.3_GHz_Cryomodule_Interfaces.pdf page 4
CE-FPC,Cold End Power Coupler,FPC_ICD.pdf page 2
CEBAF,Continuous Electron Beam Accelerator Facility,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
CEDOG,Energy Collimator in Bypass Dogleg,LCLSII-HE-1.3-PR-0021.pdf page 2
CEP,Carrier Envelop Phase-locked laser.,CDR-full.pdf page 509
CER,Continuous Edge Radiation,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
CER,Coherent Edge Radiation,Bunch_Length_Monitor_BLEN_Controls_Engineering_Specification.pdf page 3
CERN,European Organization for Nuclear Research,CDR-full.pdf page 509
CES&HP,Construction Environmental Health and Safety Plan,Construction_Project_Safety_and_Health_Plan.pdf page 6
CES&HP,"Construction Environmental, Safety and Health Plan",Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
CF,Conflat,LCLSII-HE-1.4-ES-0578.pdf page 3
CF,Conflat Flange,XTES_Bremsstrahlung_Collimators.pdf page 3
CF,Conflat Type Flange,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
CF,Conventional Facilities (synonymous with IS),PPS_to_InfrastructureSystems.pdf page 2
CF,Conflat (Standard Vacuum Flange Type),LCLS-II_EIC_Faraday_Cup_Thermal_Analysis.pdf page 2
CFC,California Fire Code,Fire_Hazard_Analysis.pdf page 35
CFD,Computational Fluid Dynamics,ODHA_PM.pdf page 4
CFF,ConFlat Flange ®,Undulator_Vacuum_Chamber.pdf page 3
CFF,Con-Flat Flange,Undulator_Interspace_Support-Alignment_ESD.pdf page 2
CFF,Conflat Flange,XTES_Rapid_Turnaround_Diag_Station.pdf page 2
CFM,Cubic Feet per Minute,CDR-full.pdf page 509
CFR,Code of Federal Regulations,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
CFV,Conventional Facilities Review,LCLSII-HE-1.1-QA-0230.pdf page 5
CG,Center of Gravity,Undulator_Segment_Functional_Requirements.pdf page 2
CGA,Compressed Gas Association,LCLSII-HE-1.3-TS-0393.pdf page 6
CHASSIS,Chassis Type,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
CHL,"Central Helium Liquifier (e.g., at TJNAF)",CDR-full.pdf page 509
CHW,Chilled Water,LCLSII-HE-1.6-SW-0433.pdf page 3
CID,Collider Injector Development (location of electron source in area of accelerator),CDR-full.pdf page 509
CID,Collider Injector Development,PPS_Requirements_(Electron_Beamlines).pdf page 3
CID,Collider Injection Development,Fire_Hazard_Analysis.pdf page 35
CIO,SLAC Chief Information Officer,Oxygen_Deficiency_Monitoring_Controls.pdf page 3
CL,Calorimeter,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
CLTS,Copper Linac To SXR,LCLS-II_LCLS_CLTS.pdf page 2
CLTUH,Cu Linac To Undulator HXR beam line starting downstream of BXSP1H to and including TDUND.,AcceptanceCriteria_and_TransferSystems.pdf page 4
CLTUS,Cu Linac To Undulator SXR beam line starting downstream of BRCUS1 to and including TDUNDB.,AcceptanceCriteria_and_TransferSystems.pdf page 4
CM,Cryomodule,LCLSII-HE-1.5-FR-0478.pdf page 3
CM,Cryomodule or Cryogenic Module,LCLSII-HE-1.5-FR-0711.pdf page 5
CM,Cryomodules,HRS.CM.00-FA-SLAC-LINAC_Functional_Requirements.pdf page 3
CM,CryoModule that contains 8 superconducting accelerator cavities.,LCLS-II_Spares_Plan.pdf page 3
CM,Cryomodule is a device containing superconducting RF cavities used to accelerate a beam of particles,LCLSII-HE-1.3-TS-0393.pdf page 5
CM,"Cryomodule: a device to provide support, alignment, cooling, and thermal insulation for the 1.3 GHz superconducting radio frequency cavities, magnets, and BPM used to accelerate, focus, steer, and diagnose the electron beam",1.3_GHz_Cryomodule_Interfaces.pdf page 4
CM,Cryo Module,CDR-full.pdf page 509
CM,Cryomodule: a device containing superconducting radio frequency (RF) cavities used to accelerate a beam of particles,Cryogenic_Distribution_System_ICD.pdf page 3
CM,Cryogenic Module / Cryomodule,Cryogenic_Controls_FR_Specification.pdf page 3
CMC,California Mechanical Code,CDR-full.pdf page 509
CMM,Coordinate measuring machine,GunB_Electron_Gun_Cold_Test_Procedure.pdf page 1
CMM,Coordinate Measurement Machine,LCLSII-HE-1.3-FR-0245.pdf page 3
CMOS,Complementary Metal Oxide Semiconductor,HPS_Common_Platform_Engineering_Specification.pdf page 3
CMP,Compressor,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
CMR,Cryoplant Monitoring Room. A room within the Cryoplant building used for cryogenic system monitoring.,Cryogenic_Controls_FR_Specification.pdf page 3
CMR,Cryo Monitoring Room (B905),HRS.CT.HW-OP-SLAC-Controls-CCI-Check.pdf page 3
CMR,Cryoplant monitoring room,Cryogenic_Controls_ESD.pdf page 5
CMR,Control Monitoring Room in Building 905,HRS.00.00-SLAC-Cryogenics_Building_905_Areas_Delineation.pdf page 2
CMT,Cryo Module Transporter,LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
CMTF,Cryo Module Test Facility,SLAC_to_Partner_Laboratories_LLRF_Controls.pdf page 2
CMTF,Cryomodule Test Facility - the Fermilab building that houses CMTS1 and CMTS2,FNAL_CMTS1.pdf page 3
CMTF,Cryomodule Test Facility,1.3_GHz_Cryomodule_Interlock_Requirements.pdf page 2
CMTF,Cryo Module Test Facility at Fermilab,LCLSII-HE-1.5-IC-0405.pdf page 3
CMTR,Certified Material Test Report,LCLSII-HE-1.2-TS-0206.pdf page 8
CMTS,Cryomodule Test Stand,Accelerator_Systems_to_Cryogenic_Systems.pdf page 3
CMTS1,Cryomodule Test Stand #1 - the test stand within CMTF that will be used for LCLS-II Cryomodule testing,FNAL_CMTS1.pdf page 3
